,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,value_per_m
292,Asher,Agbinone,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID,0.0
293,Naouirou,Ahamada,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,MID,0.0
294,Justin,Devenny,0,0,6,142,2,31.3,15.0,36.0,0,27,8.3,0,0,0,1.4,45,MID,1.3
295,Malcolm,Ebiowei,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
296,Jesurun,Rak-Sakyi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,MID,0.0
297,Matheus,França de Oliveira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
298,David,Ozoh,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
299,Kaden,Rodney,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
300,Franco,Umeh-Chibueze,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
301,Jean-Philippe,Mateta,2,0,16,441,2,9.6,102.6,150.0,0,68,26.3,3,0,2,11.0,76,FWD,2.1
302,Eddie,Nketiah,0,0,1,15,0,10.4,3.4,7.0,0,3,2.1,0,0,0,0.2,54,FWD,0.2
303,Odsonne,Édouard,0,0,1,2,0,0.0,2.0,0.0,0,6,0.2,0,0,0,0.4,50,FWD,0.2
304,Zach,Marsh,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,45,FWD,0.0
305,Rio,Cardines,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45,MID,0.0
306,Yéremy,Pino Santos,0,0,5,147,0,41.0,8.8,23.0,0,15,7.0,1,0,0,0.2,60,MID,0.8
307,Jaydee,Canvot,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF,0.0
308,Christantus,Uche,0,0,1,6,0,0.8,3.4,19.0,0,6,2.3,0,0,0,0.0,55,FWD,0.2
309,Kiernan,Dewsbury-Hall,1,1,19,450,5,183.6,92.6,45.0,3,94,32.2,2,0,4,4.9,50,MID,3.8
310,Jordan,Pickford,0,0,25,450,5,0.0,108.0,0.0,3,84,10.8,2,0,0,11.3,55,GK,4.5
