,name,position,team,xP,assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
0,Elliot Anderson,MID,Nott'm Forest,2.0,1,1,24,0,1,21.3,11,517,0.28,0.67,0.39,1.5,4,1,0,7.0,28.6,2025-08-17T13:00:00Z,90,False,5,0,0,0,8,0,1,0,664673,1,2,1,3,20.0,6,0,0,0,55,True,0,1
1,James Tarkowski,DEF,Everton,3.8,0,0,7,0,13,2.1,15,291,0.01,0.21,0.2,2.07,10,1,0,4.0,31.0,2025-08-18T19:00:00Z,90,False,11,0,0,0,3,0,1,0,704639,1,2,0,1,7.0,4,0,0,0,55,False,0,1
2,Ollie Watkins,FWD,Aston Villa,2.3,0,0,12,1,2,12.2,5,64,0.01,0.13,0.12,1.43,2,0,0,5.0,10.6,2025-08-16T11:30:00Z,90,False,15,0,0,0,3,0,1,0,2661379,1,0,0,0,27.0,2,0,0,0,90,True,0,1
3,Iliman Ndiaye,MID,Everton,2.7,0,0,11,0,1,12.1,9,299,0.02,0.02,0.0,2.07,10,1,0,2.7,12.6,2025-08-18T19:00:00Z,90,False,11,0,0,0,6,0,1,0,1180499,1,2,0,1,2.0,2,0,0,0,65,False,0,1
4,Charalampos Kostoulas,FWD,Brighton,1.4,0,0,0,0,0,0.0,0,181,0.0,0.0,0.0,0.0,3,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,10,0,0,0,0,0,1,0,41999,0,0,1,1,0.0,0,0,0,0,50,True,0,1
5,Jakub Kiwior,DEF,Arsenal,3.8,0,0,0,0,0,0.0,0,9,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2025-08-17T15:30:00Z,0,False,14,0,0,0,0,0,1,0,12048,0,0,1,0,0.0,0,0,0,0,55,False,0,1
6,William Saliba,DEF,Arsenal,4.5,0,1,25,1,10,0.1,14,6,0.0,0.0,0.0,1.52,9,0,0,3.2,31.4,2025-08-17T15:30:00Z,90,False,14,0,0,0,3,0,1,0,1257079,1,4,1,0,0.0,9,0,0,0,60,False,0,1
7,Zain Silcott-Duberry,MID,Bournemouth,0.0,0,0,0,0,0,0.0,0,95,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,2025-08-15T19:00:00Z,0,False,12,0,0,0,0,0,1,0,9256,0,0,2,4,0.0,0,0,0,0,45,False,0,1
8,Omar Richards,DEF,Nott'm Forest,1.9,0,0,0,0,0,0.0,0,512,0.0,0.0,0.0,0.0,4,0,0,0.0,0.0,2025-08-17T13:00:00Z,0,False,5,0,0,0,0,0,1,0,4215,0,0,1,3,0.0,0,0,0,0,45,True,0,1
9,Moisés Caicedo Corozo,MID,Chelsea,2.5,0,0,18,1,6,3.9,12,241,0.04,0.08,0.04,0.66,8,0,0,3.7,31.2,2025-08-17T13:00:00Z,90,False,8,0,0,0,1,0,1,0,507894,1,5,0,0,2.0,5,0,0,0,55,True,0,1
10,Hjalmar Ekdal,DEF,Burnley,0.5,0,0,-5,0,5,0.5,5,190,0.0,0.0,0.0,2.32,6,3,0,1.8,9.8,2025-08-16T14:00:00Z,90,False,18,0,0,0,1,0,1,0,18679,1,0,0,3,8.0,1,0,0,0,40,False,0,1
11,Stefan Ortega Moreno,GK,Man City,3.6,0,0,0,0,0,0.0,0,400,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2025-08-16T16:30:00Z,0,False,20,0,0,0,0,0,1,0,24396,0,0,4,0,0.0,0,0,0,0,50,False,0,1
12,Samuel Amissah,DEF,Fulham,1.0,0,0,0,0,0,0.0,0,323,0.0,0.0,0.0,0.0,3,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,6,0,0,0,0,0,1,0,15548,0,0,1,1,0.0,0,0,0,0,40,False,0,1
13,Giorgi Mamardashvili,GK,Liverpool,3.3,0,0,0,0,0,0.0,0,367,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,2025-08-15T19:00:00Z,0,False,4,0,0,0,0,0,1,0,44193,0,0,2,4,0.0,0,0,0,0,45,True,0,1
14,John McGinn,MID,Aston Villa,1.5,0,0,10,1,0,19.3,7,54,0.09,0.09,0.0,1.33,2,0,0,3.0,5.0,2025-08-16T11:30:00Z,83,False,15,0,0,0,7,0,1,0,63899,1,0,0,0,6.0,3,0,0,0,55,True,0,1
15,Myles Peart-Harris,MID,Brentford,1.0,0,0,0,0,0,0.0,0,133,0.0,0.0,0.0,0.0,4,0,0,0.0,0.0,2025-08-17T13:00:00Z,0,False,16,0,0,0,0,0,1,0,3919,0,0,1,3,0.0,0,0,0,0,45,False,0,1
16,Cole Palmer,MID,Chelsea,3.6,0,0,10,1,0,16.9,5,235,0.03,0.2,0.17,0.66,8,0,0,4.5,4.8,2025-08-17T13:00:00Z,90,False,8,0,0,0,4,0,1,0,6063687,1,1,0,0,23.0,3,0,0,0,105,True,0,1
17,Bukayo Saka,MID,Arsenal,3.5,0,0,7,1,0,16.4,5,16,0.09,0.24,0.15,1.52,9,0,0,3.5,12.0,2025-08-17T15:30:00Z,90,False,14,0,0,0,2,0,1,0,1602493,1,3,1,0,7.0,3,0,0,0,100,False,0,1
18,Mateo Kovačić,MID,Man City,0.0,0,0,0,0,0,0.0,0,422,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2025-08-16T16:30:00Z,0,False,20,0,0,0,0,0,1,0,1064,0,0,4,0,0.0,0,0,0,0,60,False,0,1
19,Jeremie Frimpong,DEF,Liverpool,5.0,0,0,8,0,3,1.3,4,370,0.01,0.02,0.01,0.81,1,0,0,0.9,5.4,2025-08-15T19:00:00Z,59,False,4,0,0,0,1,0,1,0,3010630,1,1,2,4,2.0,1,0,0,0,60,True,0,1
20,Son Heung-min,MID,Spurs,0.0,0,0,0,0,0,0.0,0,579,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,3,0,0,0,0,0,1,0,40330,0,0,0,3,0.0,0,0,0,0,85,True,0,1
21,Albert Sambi Lokonga,MID,Arsenal,1.5,0,0,0,0,0,0.0,0,29,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2025-08-17T15:30:00Z,0,False,14,0,0,0,0,0,1,0,12350,0,0,1,0,0.0,0,0,0,0,45,False,0,1
22,Nicolas Jackson,FWD,Chelsea,0.0,0,0,0,0,0,0.0,0,251,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,2025-08-17T13:00:00Z,0,False,8,0,0,0,0,0,1,0,5818,0,0,0,0,0.0,0,0,0,0,65,True,0,1
23,Antoine Semenyo,MID,Bournemouth,1.4,0,3,42,0,1,1.3,5,82,0.02,0.93,0.91,2.21,1,4,2,10.0,66.4,2025-08-15T19:00:00Z,90,False,12,0,0,0,3,0,1,0,462445,1,1,2,4,32.0,15,0,0,0,70,False,0,1
24,Harry Amass,DEF,Man Utd,0.5,0,0,0,0,0,0.0,0,445,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2025-08-17T15:30:00Z,0,False,1,0,0,0,0,0,1,0,16284,0,0,1,0,0.0,0,0,0,0,40,True,0,1
25,Aaron Ramsdale,GK,Newcastle,3.6,0,0,0,0,0,0.0,0,674,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,2025-08-16T11:30:00Z,0,False,2,0,0,0,0,0,1,0,84769,0,0,0,0,0.0,0,0,0,0,50,False,0,1
26,Jadon Sancho,MID,Man Utd,1.6,0,0,0,0,0,0.0,0,456,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2025-08-17T15:30:00Z,0,False,1,0,0,0,0,0,1,0,10745,0,0,1,0,0.0,0,0,0,0,60,True,0,1
27,Ethan Pinnock,DEF,Brentford,1.9,0,0,0,0,0,0.0,0,111,0.0,0.0,0.0,0.0,4,0,0,0.0,0.0,2025-08-17T13:00:00Z,0,False,16,0,0,0,0,0,1,0,22834,0,0,1,3,0.0,0,0,0,0,45,False,0,1
28,Mason Mount,MID,Man Utd,1.6,0,0,9,0,0,25.1,3,455,0.15,0.27,0.12,1.1,9,1,0,5.0,7.0,2025-08-17T15:30:00Z,64,False,1,0,0,0,2,0,1,0,23000,1,1,1,0,18.0,2,0,0,0,60,True,0,1
29,Dango Ouattara,MID,Bournemouth,1.1,0,0,0,0,0,0.0,0,83,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,2025-08-15T19:00:00Z,0,False,12,0,0,0,0,0,1,0,8768,0,0,2,4,0.0,0,0,0,0,60,False,0,1
30,James Hill,DEF,Bournemouth,0.0,0,0,0,0,2,0.1,2,77,0.0,0.0,0.0,0.11,1,1,0,0.3,3.0,2025-08-15T19:00:00Z,1,False,12,0,0,0,0,0,1,0,65738,0,0,2,4,0.0,1,0,0,0,40,False,0,1
31,Diogo Dalot Teixeira,DEF,Man Utd,1.4,0,0,2,0,3,14.1,4,440,0.15,0.15,0.0,1.03,9,1,0,2.3,6.8,2025-08-17T15:30:00Z,54,False,1,0,0,0,2,0,1,0,221219,1,1,1,0,2.0,1,0,0,0,45,True,0,1
32,George Earthy,MID,West Ham,0.0,0,0,0,0,0,0.0,0,620,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,17,0,0,0,0,0,1,0,8852,0,0,0,3,0.0,0,0,0,0,45,False,0,1
33,Lisandro Martínez,DEF,Man Utd,0.0,0,0,0,0,0,0.0,0,437,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2025-08-17T15:30:00Z,0,False,1,0,0,0,0,0,1,0,19351,0,0,1,0,0.0,0,0,0,0,50,True,0,1
34,Bashir Humphreys,DEF,Burnley,0.1,0,0,0,0,0,0.0,0,193,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,18,0,0,0,0,0,1,0,6171,0,0,0,3,0.0,0,0,0,0,40,False,0,1
35,Ethan Nwaneri,MID,Arsenal,2.5,0,0,0,0,0,0.0,0,25,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2025-08-17T15:30:00Z,0,False,14,0,0,0,0,0,1,0,28200,0,0,1,0,0.0,0,0,0,0,55,False,0,1
36,Maxence Lacroix,DEF,Crystal Palace,2.1,0,0,25,1,13,0.1,16,257,0.0,0.0,0.0,1.6,8,0,0,3.1,30.8,2025-08-17T13:00:00Z,90,False,7,0,0,0,2,0,1,0,96266,1,3,0,0,0.0,8,0,0,0,50,False,0,1
37,Michael Keane,DEF,Everton,2.4,0,0,10,0,7,0.4,7,295,0.0,0.0,0.0,2.07,10,1,0,2.4,19.8,2025-08-18T19:00:00Z,90,False,11,0,0,0,4,0,1,0,34296,1,0,0,1,4.0,2,0,0,0,45,False,0,1
38,Eiran Cashin,DEF,Brighton,0.0,0,0,0,0,0,0.0,0,154,0.0,0.0,0.0,0.0,3,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,10,0,0,0,0,0,1,0,1366,0,0,1,1,0.0,0,0,0,0,40,True,0,1
39,Joël Piroe,FWD,Leeds,1.2,0,0,4,1,0,5.6,4,362,0.04,0.32,0.28,0.28,10,0,0,5.2,2.0,2025-08-18T19:00:00Z,77,False,9,0,0,0,4,0,1,0,204534,1,0,0,1,44.0,2,0,0,0,55,True,0,1
40,Steven Benda,GK,Fulham,0.0,0,0,0,0,0,0.0,0,315,0.0,0.0,0.0,0.0,3,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,6,0,0,0,0,0,1,0,970,0,0,1,1,0.0,0,0,0,0,40,False,0,1
41,Aaron Ramsey,MID,Burnley,0.5,0,0,0,0,0,0.0,0,211,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,18,0,0,0,0,0,1,0,977143,0,0,0,3,0.0,0,0,0,0,45,False,0,1
42,Anthony Patterson,GK,Sunderland,1.8,0,0,0,0,0,0.0,0,528,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,19,0,0,0,0,0,1,0,32612,0,0,0,3,0.0,0,0,0,0,45,True,0,1
43,Kevin Danso,DEF,Spurs,2.4,0,0,0,0,0,0.0,0,570,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,3,0,0,0,0,0,1,0,19361,0,0,0,3,0.0,0,0,0,0,45,True,0,1
44,Harry Maguire,DEF,Man Utd,1.4,0,0,2,0,3,0.5,3,442,0.0,0.0,0.0,0.21,9,0,0,0.6,5.2,2025-08-17T15:30:00Z,10,False,1,0,0,0,0,0,1,0,64486,0,0,1,0,0.0,1,0,0,0,45,True,0,1
45,Alex Iwobi,MID,Fulham,2.2,0,0,10,0,0,40.5,2,324,0.28,0.29,0.01,1.05,3,1,0,5.1,9.6,2025-08-16T14:00:00Z,65,False,6,0,0,0,2,0,1,0,158580,1,0,1,1,1.0,2,0,0,0,65,False,0,1
46,Jefferson Lerma Solís,MID,Crystal Palace,1.0,0,0,3,0,1,1.0,3,272,0.0,0.0,0.0,0.38,8,0,0,0.4,1.0,2025-08-17T13:00:00Z,20,False,7,0,0,0,2,0,1,0,6436,0,0,0,0,2.0,1,0,0,0,50,False,0,1
47,Kai Havertz,FWD,Arsenal,2.9,0,0,4,0,1,0.8,3,30,0.01,0.01,0.0,0.82,9,0,0,0.6,2.8,2025-08-17T15:30:00Z,30,False,14,0,0,0,2,0,1,0,117967,0,0,1,0,2.0,1,0,0,0,75,False,0,1
48,Mikey Moore,MID,Spurs,0.0,0,0,0,0,0,0.0,0,592,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,3,0,0,0,0,0,1,0,1092,0,0,0,3,0.0,0,0,0,0,50,True,0,1
49,Jayden Danns,FWD,Liverpool,2.0,0,0,0,0,0,0.0,0,398,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,2025-08-15T19:00:00Z,0,False,4,0,0,0,0,0,1,0,13290,0,0,2,4,0.0,0,0,0,0,45,True,0,1
50,Martin Dúbravka,GK,Burnley,0.5,0,0,5,0,0,0.0,0,470,0.0,0.0,0.0,2.32,6,3,0,2.6,25.6,2025-08-16T14:00:00Z,90,False,18,0,0,0,6,0,1,3,3377673,1,0,0,3,0.0,2,0,0,0,40,False,0,1
51,Mike Penders,GK,Chelsea,0.0,0,0,0,0,0,0.0,0,222,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,2025-08-17T13:00:00Z,0,False,8,0,0,0,0,0,1,0,694,0,0,0,0,0.0,0,0,0,0,40,True,0,1
52,Antonín Kinský,GK,Spurs,1.5,0,0,0,0,0,0.0,0,567,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,3,0,0,0,0,0,1,0,214302,0,0,0,3,0.0,0,0,0,0,40,True,0,1
53,Ilia Gruev,MID,Leeds,1.0,0,0,3,0,1,0.3,1,356,0.0,0.0,0.0,0.28,10,0,0,0.2,1.6,2025-08-18T19:00:00Z,12,False,9,0,0,0,0,0,1,0,4328,0,0,0,1,0.0,1,0,0,0,50,True,0,1
54,Daniel James,MID,Leeds,1.5,0,0,6,1,1,15.7,2,353,0.05,0.19,0.14,0.28,10,0,0,3.3,6.2,2025-08-18T19:00:00Z,77,False,9,0,0,0,1,0,1,0,49896,1,0,0,1,11.0,3,0,0,0,55,True,0,1
55,Caoimhín Kelleher,GK,Brentford,1.7,0,0,4,0,4,0.0,0,101,0.0,0.0,0.0,1.86,4,3,0,1.2,11.8,2025-08-17T13:00:00Z,90,False,16,0,0,0,14,0,1,2,1113397,1,0,1,3,0.0,1,0,0,0,45,False,0,1
56,Fer López González,MID,Wolves,1.5,0,0,5,0,0,0.6,0,645,0.02,0.1,0.08,0.24,7,1,0,2.3,3.4,2025-08-16T16:30:00Z,18,False,13,0,0,0,0,0,1,0,4451,0,0,4,0,19.0,1,0,0,0,55,True,0,1
57,Adam Aznou,DEF,Everton,2.4,0,0,0,0,0,0.0,0,667,0.0,0.0,0.0,0.0,10,0,0,0.0,0.0,2025-08-18T19:00:00Z,0,False,11,0,0,0,0,0,1,0,11921,0,0,0,1,0.0,0,0,0,0,45,False,0,1
58,Sean Longstaff,MID,Leeds,1.0,0,0,3,0,0,0.3,0,493,0.0,0.0,0.0,0.0,10,0,0,0.1,0.2,2025-08-18T19:00:00Z,1,False,9,0,0,0,0,0,1,0,18431,0,0,0,1,0.0,1,0,0,0,50,True,0,1
59,Joe Willock,MID,Newcastle,0.0,0,0,0,0,0,0.0,0,494,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,2025-08-16T11:30:00Z,0,False,2,0,0,0,0,0,1,0,4036,0,0,0,0,0.0,0,0,0,0,50,False,0,1
60,Andrés García,DEF,Aston Villa,0.1,0,0,0,0,0,0.0,0,42,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,2025-08-16T11:30:00Z,0,False,15,0,0,0,0,0,1,0,31266,0,0,0,0,0.0,0,0,0,0,40,True,0,1
61,Nathan Collins,DEF,Brentford,2.6,0,0,0,0,5,0.2,5,106,0.0,0.02,0.02,1.86,4,3,0,1.5,9.8,2025-08-17T13:00:00Z,90,False,16,0,0,0,5,0,1,0,173943,1,0,1,3,5.0,0,0,0,0,50,False,1,1
62,Jack Harrison,MID,Leeds,1.5,0,0,3,0,0,1.3,1,352,0.0,0.0,0.0,0.28,10,0,0,0.6,2.2,2025-08-18T19:00:00Z,12,False,9,0,0,0,0,0,1,0,15044,0,1,0,1,2.0,1,0,0,0,55,True,0,1
63,Owen Dodgson,DEF,Burnley,0.0,0,0,0,0,0,0.0,0,189,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,18,0,0,0,0,0,1,0,3940,0,0,0,3,0.0,0,0,0,0,40,False,0,1
64,Myles Lewis-Skelly,DEF,Arsenal,3.8,0,0,-1,0,1,0.0,1,10,0.0,0.0,0.0,0.66,9,0,0,0.0,0.2,2025-08-17T15:30:00Z,18,False,14,0,0,0,0,0,1,0,399029,0,0,1,0,0.0,0,0,0,0,55,False,1,1
65,Altay Bayındır,GK,Man Utd,2.6,0,0,11,0,1,0.0,0,431,0.0,0.0,0.0,1.31,9,1,0,1.3,13.4,2025-08-17T15:30:00Z,90,False,1,0,0,0,10,0,1,2,31564,1,0,1,0,0.0,2,0,0,0,50,True,0,1
66,Jay Matete,MID,Sunderland,0.5,0,0,0,0,0,0.0,0,558,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,19,0,0,0,0,0,1,0,25749,0,0,0,3,0.0,0,0,0,0,45,True,0,1
67,Shurandy Sambo,DEF,Burnley,0.5,0,0,0,0,0,0.0,0,196,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,18,0,0,0,0,0,1,0,12114,0,0,0,3,0.0,0,0,0,0,40,False,0,1
68,Nathaniel Clyne,DEF,Crystal Palace,0.5,0,0,0,0,0,0.0,0,263,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,2025-08-17T13:00:00Z,0,False,7,0,0,0,0,0,1,0,66062,0,0,0,0,0.0,0,0,0,0,40,False,0,1
69,Neco Williams,DEF,Nott'm Forest,2.6,0,0,10,0,4,28.8,6,508,0.09,0.09,0.0,1.5,4,1,0,5.0,19.0,2025-08-17T13:00:00Z,90,False,5,0,0,0,2,0,1,0,1038264,1,2,1,3,2.0,1,0,0,0,50,True,1,1
70,Julián Araujo Zúñiga,DEF,Bournemouth,0.0,0,0,0,0,0,0.0,0,78,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,2025-08-15T19:00:00Z,0,False,12,0,0,0,0,0,1,0,126674,0,0,2,4,0.0,0,0,0,0,40,False,0,1
71,David Mota Veiga Teixeira do Carmo,DEF,Nott'm Forest,1.9,0,0,0,0,0,0.0,0,509,0.0,0.0,0.0,0.0,4,0,0,0.0,0.0,2025-08-17T13:00:00Z,0,False,5,0,0,0,0,0,1,0,4405,0,0,1,3,0.0,0,0,0,0,45,True,0,1
72,Romain Faivre,MID,Bournemouth,0.0,0,0,0,0,0,0.0,0,92,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,2025-08-15T19:00:00Z,0,False,12,0,0,0,0,0,1,0,18512,0,0,2,4,0.0,0,0,0,0,45,False,0,1
73,Nazarii Rusyn,FWD,Sunderland,0.5,0,0,0,0,0,0.0,0,564,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,19,0,0,0,0,0,1,0,20278,0,0,0,3,0.0,0,0,0,0,45,True,0,1
74,Luka Vušković,DEF,Spurs,1.5,0,0,0,0,0,0.0,0,578,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,3,0,0,0,0,0,1,0,107600,0,0,0,3,0.0,0,0,0,0,40,True,0,1
75,Manuel Akanji,DEF,Man City,3.8,0,0,0,0,0,0.0,0,404,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2025-08-16T16:30:00Z,0,False,20,0,0,0,0,0,1,0,79945,0,0,4,0,0.0,0,0,0,0,55,False,0,1
76,Daniel Muñoz Mejía,DEF,Crystal Palace,2.8,0,0,17,1,6,0.4,8,256,0.0,0.05,0.05,1.6,8,0,0,1.6,10.0,2025-08-17T13:00:00Z,90,False,7,0,0,0,2,0,1,0,813663,1,2,0,0,6.0,5,0,0,0,55,False,1,1
77,Pedro Lomba Neto,MID,Chelsea,2.8,0,0,18,1,1,37.7,6,236,0.36,0.39,0.03,0.66,8,0,0,6.2,13.8,2025-08-17T13:00:00Z,90,False,8,0,0,0,4,0,1,0,361022,1,1,0,0,10.0,3,0,0,0,70,True,0,1
78,Alphonse Areola,GK,West Ham,2.8,0,0,0,0,0,0.0,0,600,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,17,0,0,0,0,0,1,0,467077,0,0,0,3,0.0,0,0,0,0,45,False,0,1
79,Mark Gillespie,GK,Newcastle,1.5,0,0,0,0,0,0.0,0,471,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,2025-08-16T11:30:00Z,0,False,2,0,0,0,0,0,1,0,13228,0,0,0,0,0.0,0,0,0,0,40,False,0,1
80,Coby Ebere,MID,Everton,1.5,0,0,0,0,0,0.0,0,307,0.0,0.0,0.0,0.0,10,0,0,0.0,0.0,2025-08-18T19:00:00Z,0,False,11,0,0,0,0,0,1,0,3836,0,0,0,1,0.0,0,0,0,0,45,False,0,1
81,Anthony Gordon,MID,Newcastle,3.0,0,0,4,1,0,13.0,4,485,0.03,0.58,0.55,0.2,2,0,0,5.9,5.4,2025-08-16T11:30:00Z,90,False,2,0,0,0,4,0,1,0,151396,1,0,0,0,41.0,3,0,0,0,75,False,0,1
82,Armando Broja,FWD,Burnley,1.2,0,0,0,0,0,0.0,0,680,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,18,0,0,0,0,0,1,0,21496,0,0,0,3,0.0,0,0,0,0,55,False,0,1
83,Lewis Orford,MID,West Ham,1.5,0,0,0,0,0,0.0,0,622,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,17,0,0,0,0,0,1,0,14232,0,0,0,3,0.0,0,0,0,0,45,False,0,1
84,Yerson Mosquera Valdelamar,DEF,Wolves,1.4,0,0,0,0,0,0.0,0,634,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,2025-08-16T16:30:00Z,0,False,13,0,0,0,0,0,1,0,5032,0,0,4,0,0.0,0,0,0,0,45,True,0,1
85,Joe Worrall,DEF,Burnley,0.5,0,0,0,0,0,0.0,0,199,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,18,0,0,0,0,0,1,0,12556,0,0,0,3,0.0,0,0,0,0,40,False,0,1
86,Nico González Iglesias,MID,Man City,2.6,0,0,27,1,4,5.6,11,423,0.05,0.1,0.05,0.56,7,0,0,3.6,24.8,2025-08-16T16:30:00Z,90,False,20,0,0,0,4,0,1,0,6190,1,3,4,0,6.0,3,0,0,0,60,False,0,1
87,Joshua Zirkzee,FWD,Man Utd,1.5,0,0,0,0,0,0.0,0,466,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2025-08-17T15:30:00Z,0,False,1,0,0,0,0,0,1,0,35612,0,0,1,0,0.0,0,0,0,0,60,True,0,1
88,Keane Lewis-Potter,DEF,Brentford,2.6,0,0,-8,0,3,4.5,5,107,0.0,0.12,0.12,1.86,4,3,0,1.7,5.4,2025-08-17T13:00:00Z,68,False,16,0,0,0,2,0,1,0,40255,1,2,1,3,7.0,1,0,0,0,50,False,0,1
89,Mamadou Sarr,DEF,Chelsea,0.0,0,0,0,0,0,0.0,0,231,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,2025-08-17T13:00:00Z,0,False,8,0,0,0,0,0,1,0,2776,0,0,0,0,0.0,0,0,0,0,45,True,0,1
90,Romaine Mundle,MID,Sunderland,0.0,0,0,0,0,0,0.0,0,548,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,19,0,0,0,0,0,1,0,1023,0,0,0,3,0.0,0,0,0,0,50,True,0,1
91,Mathys Tel,MID,Spurs,2.7,0,0,1,0,0,0.1,0,584,0.0,0.0,0.0,0.0,6,0,0,0.0,0.0,2025-08-16T14:00:00Z,5,False,3,0,0,0,0,0,1,0,13227,0,0,0,3,0.0,1,0,0,0,65,True,0,1
92,Mikkel Damsgaard,MID,Brentford,2.1,0,0,0,0,0,0.0,0,121,0.0,0.0,0.0,0.0,4,0,0,0.0,0.0,2025-08-17T13:00:00Z,0,False,16,0,0,0,0,0,1,0,109890,0,0,1,3,0.0,0,0,0,0,60,False,0,1
93,Kobbie Mainoo,MID,Man Utd,1.0,0,0,0,0,0,0.0,0,458,0.0,0.0,0.0,0.0,9,0,0,0.0,0.0,2025-08-17T15:30:00Z,0,False,1,0,0,0,0,0,1,0,69362,0,0,1,0,0.0,0,0,0,0,50,True,0,1
94,Iwan Morgan,FWD,Brentford,1.0,0,0,0,0,0,0.0,0,137,0.0,0.0,0.0,0.0,4,0,0,0.0,0.0,2025-08-17T13:00:00Z,0,False,16,0,0,0,0,0,1,0,42804,0,0,1,3,0.0,0,0,0,0,45,False,0,1
95,Joachim Andersen,DEF,Fulham,1.9,0,0,14,0,5,1.0,8,317,0.01,0.01,0.0,1.48,3,1,0,2.1,16.4,2025-08-16T14:00:00Z,90,False,6,0,0,0,1,0,1,0,299085,1,3,1,1,4.0,2,0,0,0,45,False,0,1
96,Roman Dixon,DEF,Everton,1.5,0,0,0,0,0,0.0,0,297,0.0,0.0,0.0,0.0,10,0,0,0.0,0.0,2025-08-18T19:00:00Z,0,False,11,0,0,0,0,0,1,0,20055,0,0,0,1,0.0,0,0,0,0,40,False,0,1
97,Sepp van den Berg,DEF,Brentford,1.9,0,0,6,0,12,0.6,14,113,0.0,0.21,0.21,1.86,4,3,0,5.9,34.4,2025-08-17T13:00:00Z,90,False,16,0,0,0,4,0,1,0,37559,1,2,1,3,24.0,3,0,0,0,45,False,0,1
98,Wilfried Gnonto,MID,Leeds,1.5,0,0,12,1,2,6.3,7,351,0.01,0.15,0.14,0.08,10,0,0,2.4,6.6,2025-08-18T19:00:00Z,66,False,9,0,0,0,1,0,1,0,35555,1,4,0,1,11.0,3,0,0,0,55,True,0,1
