,name,position,team,xP,assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,starts,tackles,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
677,Jesurun Rak-Sakyi,MID,Crystal Palace,0.5,0,0,0,0,0,0.0,0,278,0.0,0.0,0.0,0.0,8,0,0,0.0,0.0,2025-08-17T13:00:00Z,0,False,7,0,0,0,0,0,1,0,6524,0,0,0,0,0.0,0,0,0,0,45,False,0,1
678,Ellery Balcombe,GK,Brentford,1.0,0,0,0,0,0,0.0,0,102,0.0,0.0,0.0,0.0,4,0,0,0.0,0.0,2025-08-17T13:00:00Z,0,False,16,0,0,0,0,0,1,0,28995,0,0,1,3,0.0,0,0,0,0,40,False,0,1
679,Luis Guilherme Lira dos Santos,MID,West Ham,2.0,0,0,0,0,0,0.0,0,619,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,17,0,0,0,0,0,1,0,3179,0,0,0,3,0.0,0,0,0,0,50,False,0,1
680,Josh Acheampong,DEF,Chelsea,1.5,0,3,35,1,6,2.3,8,233,0.01,0.1,0.09,0.66,8,0,0,2.9,16.2,2025-08-17T13:00:00Z,90,False,8,0,0,0,4,0,1,0,22750,1,2,0,0,10.0,9,0,0,0,40,True,0,1
681,Simon Adingra,MID,Sunderland,1.5,1,0,8,1,0,14.5,3,543,0.02,0.16,0.14,0.33,5,0,0,2.0,0.0,2025-08-16T14:00:00Z,75,False,19,0,0,0,2,0,1,0,153075,1,1,0,3,6.0,6,0,0,0,55,True,0,1
682,Freddie Potts,MID,West Ham,1.5,0,0,0,0,0,0.0,0,623,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,17,0,0,0,0,0,1,0,75078,0,0,0,3,0.0,0,0,0,0,45,False,0,1
683,João Victor Gomes da Silva,MID,Wolves,1.5,0,0,20,0,3,14.8,9,646,0.04,0.04,0.0,2.47,7,4,0,3.8,19.4,2025-08-16T16:30:00Z,90,False,13,0,0,0,2,0,1,0,11020,1,4,4,0,4.0,2,0,0,0,55,True,0,1
684,Richarlison de Andrade,FWD,Spurs,2.7,0,3,61,1,3,0.5,5,597,0.01,0.79,0.78,0.89,6,0,2,15.4,73.6,2025-08-16T14:00:00Z,71,False,3,0,0,0,2,0,1,0,168159,1,0,0,3,80.0,13,0,0,0,65,True,0,1
685,Cristian Romero,DEF,Spurs,3.1,0,0,22,1,5,1.4,5,569,0.02,0.02,0.0,0.94,6,0,0,2.5,18.0,2025-08-16T14:00:00Z,90,False,3,0,0,0,3,0,1,0,326209,1,0,0,3,6.0,6,0,0,0,50,True,0,1
686,Pervis Estupiñán Tenorio,DEF,Brighton,0.0,0,0,0,0,0,0.0,0,147,0.0,0.0,0.0,0.0,3,0,0,0.0,0.0,2025-08-16T14:00:00Z,0,False,10,0,0,0,0,0,1,0,3126,0,0,1,1,0.0,0,0,0,0,45,True,0,1
